marque,prix_neuf,modele,annee,gamme,poids,fiche_technique,photo_url,annonce_url
Scott,799,Aspect 730,2020,XC Hardtail,"13,85","Garantie : /Cadre : Aspect 900-700 series / Alloy 6061 Custom Butted Tubing#BSA73 / Internal Cable Routing / replaceable hangerPoids cadre : NCAmortisseur : /Débattement AR. : /Fourche : RockShox XC30 TK / Coil / PopLoc Lockout / Reb. Adj.#100mm travelDébattement AV : /Poids constructeur : 13.85Potence : Syncros 3.0 / 7° / BlackGuidon : Syncros 3.0 / 720mm#black / 31.8mm / 12mm rise / 9° BS#Syncros Comfort Lock-on GripSelle : Syncros 3.0Tige de selle : Syncros 3.0#31.6mm / 350mm / BlackFreins : Shimano BR-MT200 / Hydr. Disc#SM-RT10 CL rotor / 180F/160RMoyeux : /Jantes : /Cassette : /Pneus d’origine : Kenda Booster#2.4"" / 30TPIDérailleur AV : Shimano FD-M2020-TS / 31.8mmDérailleur AR : Shimano Deore RD-M592#18 SpeedCommandes : Shimano SL-M3000-9R#R-fire plus / 2 way release#w/gear indicatorPédalier : Shimano FC-MT210#2-piece Design / 36X22Tailles dispo. : XS, S, M, LTaille de référence : /Empattement (en mm) : /Longueur des bases (en mm) : /Hauteur boîtier (en mm) : /Angle tube direction (en °) : /Angle tube de selle (en °) : /Tube supérieur (en mm) : /Longueur tube direction (en mm) : /",https://www.bigbike-magazine.com/media/guide_matos/vtt_2020/scott_2020_aspect_730_dk_green_yellow__prop_300x115.jpg,https://www.bigbike-magazine.com/vtt-2020-scott-aspect-730
Scott,699,Aspect 740,2020,XC Hardtail,"14,05","Garantie : /Cadre : Aspect 900-700 series / Alloy 6061 Custom Butted Tubing#BSA73 / Internal Cable Routing / replaceable hangerPoids cadre : NCAmortisseur : /Débattement AR. : /Fourche : Suntour XCR32-RL-R#Remote Lockout / Reb. Adj.#100mm travelDébattement AV : /Poids constructeur : 14.05Potence : Syncros 3.0 / 7° / BlackGuidon : Syncros 3.0 / 720mm#black / 31.8mm / 12mm rise / 9° BSSelle : Syncros 3.0Tige de selle : Syncros 3.0#31.6mm / 350mm / BlackFreins : Shimano BR-MT200 / Hydr. Disc#SM-RT10 CL rotor / 160F/160RMoyeux : /Jantes : /Cassette : /Pneus d’origine : Kenda Booster#2.4"" / 30TPIDérailleur AV : Shimano FD-M2020-TS / 31.8mmDérailleur AR : Shimano Deore RD-M592#18 SpeedCommandes : Shimano SL-M2010-9R#R-fire plus / 2 way release#w/gear indicatorPédalier : Shimano FC-MT210#2-piece Design / 36X22Tailles dispo. : XS, S, M, LTaille de référence : /Empattement (en mm) : /Longueur des bases (en mm) : /Hauteur boîtier (en mm) : /Angle tube direction (en °) : /Angle tube de selle (en °) : /Tube supérieur (en mm) : /Longueur tube direction (en mm) : /",https://www.bigbike-magazine.com/media/guide_matos/vtt_2020/scott_2020_aspect_740_dk_grey_red__prop_300x115.jpg,https://www.bigbike-magazine.com/vtt-2020-scott-aspect-740
Scott,699,Aspect 740,2021,XC Hardtail,0,"Garantie : Cadre : Aspect 900-700 series / Alloy 6061 Custom Butted Tubing#BSA73 / Internal Cable Routing / replaceable hangerPoids cadre : 0.00Amortisseur : /Débattement AR. : /Fourche : Suntour XCR32-LO-R / Hyd. Lockout / Reb. Adj.#100mm travelDébattement AV : /Poids constructeur : 0.00Potence : Syncros 3.0 / 7° / BlackGuidon : Syncros 3.0 / 720mm#black / 31.8mm / 12mm rise / 9° BS#Syncros Pro GripSelle : Syncros 3.0Tige de selle : Syncros 3.0#31.6mm / 350mm / BlackFreins : Shimano MT200 / Hydr. DiscMoyeux : /Jantes : Syncros X-20 Disc#32H / blackCassette : /Pneus d’origine : /Dérailleur AV : Shimano FD-M3120 Side Swing / 31.8mmDérailleur AR : Shimano Deore RD-M3100#18 SpeedCommandes : Shimano SL-M3100#R-fire plus / 2 way
release#w/gear indicatorPédalier : Shimano FC-MT2102#2-piece Design /
36X22Tailles dispo. : /Taille de référence : /Empattement (en mm) : /Longueur des bases (en mm) : /Hauteur boîtier (en mm) : /Angle tube direction (en °) : /Angle tube de selle (en °) : /Tube supérieur (en mm) : /Longueur tube direction (en mm) : /",https://www.bigbike-magazine.com/media/guide_matos/vtt_2021/scott_2021_aspect_740_orange__prop_300x115.jpg,https://www.bigbike-magazine.com/vtt-2021-scott-aspect-740
Scott,599,Aspect 750,2020,XC Hardtail,"14,50","Garantie : /Cadre : Aspect 900-700 series / Alloy 6061 Custom Butted Tubing#BSA73 / Internal Cable Routing / replaceable hangerPoids cadre : NCAmortisseur : /Débattement AR. : /Fourche : Suntour XCT30-HLO#Hyd. Lockout / 100mm travelDébattement AV : /Poids constructeur : 14.50Potence : Syncros 3.0 / 7° / BlackGuidon : Syncros 3.0 / 720mm#black / 31.8mm / 12mm rise / 9° BSSelle : Syncros 3.0Tige de selle : Syncros 3.0#31.6mm / 350mm / BlackFreins : Tektro HDM275 / Hydr. Disc#160F/160R rotorMoyeux : /Jantes : /Cassette : /Pneus d’origine : Kenda Booster#2.4"" / 30TPIDérailleur AV : Shimano FD-M2000 / 31.8mmDérailleur AR : Shimano Altus RD-M2000#27 SpeedCommandes : Shimano SL-M2000-9R#R-fire plus / 2 way release#w/gear indicatorPédalier : Shimano FC-MT101#40x30x22Tailles dispo. : XS, S, M, LTaille de référence : /Empattement (en mm) : /Longueur des bases (en mm) : /Hauteur boîtier (en mm) : /Angle tube direction (en °) : /Angle tube de selle (en °) : /Tube supérieur (en mm) : /Longueur tube direction (en mm) : /",https://www.bigbike-magazine.com/media/guide_matos/vtt_2020/scott_2020_aspect_750_dk_blue_green__prop_300x115.jpg,https://www.bigbike-magazine.com/vtt-2020-scott-aspect-750
Scott,599,Aspect 750,2021,XC Hardtail,0,"Garantie : Cadre : Aspect 900-700 series / Alloy 6061 Custom Tubing#BSA73 / Internal Cable Routing / replaceable hangerPoids cadre : 0.00Amortisseur : /Débattement AR. : /Fourche : Suntour XCT30-HLO#Hyd. Lockout / 100mm travelDébattement AV : /Poids constructeur : 0.00Potence : Syncros 3.0 / 7° / BlackGuidon : Syncros 3.0 / 720mm#black / 31.8mm / 12mm rise / 9° BS#Syncros Pro GripSelle : Syncros 3.0Tige de selle : Syncros 3.0#31.6mm / 350mm / BlackFreins : Tektro HDM275 Hydr. DiscMoyeux : /Jantes : Syncros X-20 Disc#32H / blackCassette : /Pneus d’origine : /Dérailleur AV : Shimano FD-M2020-TS / 31.8mmDérailleur AR : Shimano Altus RD-M2000#18 SpeedCommandes : Shimano SL-M2010#R-fire plus / 2 way
release#w/gear indicatorPédalier : Shimano FC-MT2102#2-piece Design / 36X22Tailles dispo. : /Taille de référence : /Empattement (en mm) : /Longueur des bases (en mm) : /Hauteur boîtier (en mm) : /Angle tube direction (en °) : /Angle tube de selle (en °) : /Tube supérieur (en mm) : /Longueur tube direction (en mm) : /",https://www.bigbike-magazine.com/media/guide_matos/vtt_2021/scott_2021_aspect_750_slate_grey__prop_300x115.jpg,https://www.bigbike-magazine.com/vtt-2021-scott-aspect-750
Scott,499,Aspect 760,2021,XC Hardtail,0,"Garantie : Cadre : Aspect 900-700 series / Alloy 6061 Custom Tubing#BSA73 / Internal Cable Routing / replaceable hangerPoids cadre : 0.00Amortisseur : /Débattement AR. : /Fourche : Suntour XCE28#100mm travelDébattement AV : /Poids constructeur : 0.00Potence : TDS-C301-8FOV / 10° / 31.8 / BlackGuidon : HL MTB-AL-312BT / 720mm / black / 12mm rise#Sncros Pro GripSelle : Syncros 3.0Tige de selle : HL SP C207#31.6mm / 350mm / BlackFreins : Tektro HDM275 Hydr. DiscMoyeux : /Jantes : Syncros X-20 Disc#32H / blackCassette : /Pneus d’origine : /Dérailleur AV : Shimano FD-M315-TS / 31.8mmDérailleur AR : Shimano Tourney RD-TX800#16 SpeedCommandes : Shimano SL-M315#R-fire plus / 2 way
release#w/gear indicatorPédalier : Prowheel TM-CY01#36X22 w/CGTailles dispo. : /Taille de référence : /Empattement (en mm) : /Longueur des bases (en mm) : /Hauteur boîtier (en mm) : /Angle tube direction (en °) : /Angle tube de selle (en °) : /Tube supérieur (en mm) : /Longueur tube direction (en mm) : /",https://www.bigbike-magazine.com/media/guide_matos/vtt_2021/scott_2021_aspect_760_red__prop_300x115.jpg,https://www.bigbike-magazine.com/vtt-2021-scott-aspect-760
Scott,499,Aspect 760,2020,XC Hardtail,"14,70","Garantie : /Cadre : Aspect 900-700 series / Alloy 6061 Custom Tubing#BSA73 / Internal Cable Routing / replaceable hangerPoids cadre : NCAmortisseur : /Débattement AR. : /Fourche : Suntour XCE28#100mm travelDébattement AV : /Poids constructeur : 14.70Potence : TDS-C302-8FOV / 10° / 31.8 / BlackGuidon : HL MTB-AL-312BT / 720mm / black / 12mm riseSelle : Syncros 3.0Tige de selle : HL SP C212#31.6mm / 350mm / BlackFreins : Tektro HDM275 / Hydr. Disc#160F/160R rotorMoyeux : /Jantes : /Cassette : /Pneus d’origine : Kenda Booster#2.4"" / 30TPIDérailleur AV : Shimano FD-TY700-TS6 / 31.8mmDérailleur AR : Shimano Tourney RD-TX800#24 SpeedCommandes : Shimano SL-M315-8R#R-fire plus / 2 way release#w/gear indicatorPédalier : Shimano FC-TY501#42x34x24 w/CGTailles dispo. : XS, S, M, LTaille de référence : /Empattement (en mm) : /Longueur des bases (en mm) : /Hauteur boîtier (en mm) : /Angle tube direction (en °) : /Angle tube de selle (en °) : /Tube supérieur (en mm) : /Longueur tube direction (en mm) : /",https://www.bigbike-magazine.com/media/guide_matos/vtt_2020/scott_2020_aspect_760_black_orange__prop_300x115.jpg,https://www.bigbike-magazine.com/vtt-2020-scott-aspect-760
Scott,459,Aspect 770,2021,XC Hardtail,0,"Garantie : Cadre : Aspect 900-700 series / Alloy 6061 Custom Tubing#BSA73 / Internal Cable Routing / replaceable hangerPoids cadre : 0.00Amortisseur : /Débattement AR. : /Fourche : Suntour XCE28#100mm travelDébattement AV : /Poids constructeur : 0.00Potence : TDS-C301-8FOV / 10° / 31.8 / BlackGuidon : HL MTB-AL-312BT / 720mm / black / 12mm rise#Sncros Pro GripSelle : Syncros 3.0Tige de selle : HL SP C207#31.6mm / 350mm / BlackFreins : Tektro SCM-02 Mech. DiscMoyeux : /Jantes : Syncros X-20 Disc#32H / blackCassette : /Pneus d’origine : /Dérailleur AV : Shimano FD-TY300 / 31.8mmDérailleur AR : Shimano Tourney RD-TY300#21 SpeedCommandes : Shimano ST-EF-41-L / 7R#EZ-fire plus
w/gear indicatorPédalier : Prowheel TA-CQ01#42x34x24 w/CGTailles dispo. : /Taille de référence : /Empattement (en mm) : /Longueur des bases (en mm) : /Hauteur boîtier (en mm) : /Angle tube direction (en °) : /Angle tube de selle (en °) : /Tube supérieur (en mm) : /Longueur tube direction (en mm) : /",https://www.bigbike-magazine.com/media/guide_matos/vtt_2021/scott_2021_aspect_770_yellow__prop_300x115.jpg,https://www.bigbike-magazine.com/vtt-2021-scott-aspect-770
Scott,449,Aspect 770,2020,XC Hardtail,"14,85","Garantie : /Cadre : Aspect 900-700 series / Alloy 6061 Custom Tubing#BSA73 / Internal Cable Routing / replaceable hangerPoids cadre : NCAmortisseur : /Débattement AR. : /Fourche : Suntour XCE28#100mm travelDébattement AV : /Poids constructeur : 14.85Potence : TDS-C302-8FOV / 10° / 31.8 / BlackGuidon : HL MTB-AL-312BT / 720mm / black / 12mm riseSelle : Syncros 3.0Tige de selle : HL SP C212#31.6mm / 350mm / BlackFreins : Tektro SCM-02 mech. Disc#160F/160R rotorMoyeux : /Jantes : /Cassette : /Pneus d’origine : Kenda Booster#2.4"" / 30TPIDérailleur AV : Shimano FD-TY500-TS6 / 31.8mmDérailleur AR : Shimano Tourney RD-TY300#21 SpeedCommandes : Shimano ST-EF 41 L / 7R#EZ-fire plus w/gear indicatorPédalier : Shimano FC-TY301#42x34x24 w/CGTailles dispo. : XS, S, M, LTaille de référence : /Empattement (en mm) : /Longueur des bases (en mm) : /Hauteur boîtier (en mm) : /Angle tube direction (en °) : /Angle tube de selle (en °) : /Tube supérieur (en mm) : /Longueur tube direction (en mm) : /",https://www.bigbike-magazine.com/media/guide_matos/vtt_2020/scott_2020_aspect_770_dk_grey_yellow__prop_300x115.jpg,https://www.bigbike-magazine.com/vtt-2020-scott-aspect-770
Scott,399,Aspect 780,2020,XC Hardtail,"13,90","Garantie : /Cadre : Aspect 900-700 series / Alloy 6061 Custom Tubing#BSA73 / Internal Cable Routing / replaceable hangerPoids cadre : NCAmortisseur : /Débattement AR. : /Fourche : HL Zoom 565 VB#100mm travelDébattement AV : /Poids constructeur : 13.90Potence : TDS-C302-8FOV / 10° / 31.8 / BlackGuidon : HL MTB-AL-312BT / 720mm / black / 12mm riseSelle : Syncros 3.0Tige de selle : HL SP C212#31.6mm / 350mm / BlackFreins : Promax TX-117L#V-brakeMoyeux : /Jantes : /Cassette : /Pneus d’origine : Kenda Booster#2.4"" / 30TPIDérailleur AV : Shimano FD-TY500-TS6 / 31.8mmDérailleur AR : Shimano Tourney RD-TY300#21 SpeedCommandes : Shimano ST-EF 41 L / 7R#EZ-fire plus w/gear indicatorPédalier : Shimano FC-TY301#42x34x24 w/CGTailles dispo. : XS, S, M, LTaille de référence : /Empattement (en mm) : /Longueur des bases (en mm) : /Hauteur boîtier (en mm) : /Angle tube direction (en °) : /Angle tube de selle (en °) : /Tube supérieur (en mm) : /Longueur tube direction (en mm) : /",https://www.bigbike-magazine.com/media/guide_matos/vtt_2020/scott_2020_aspect_780__prop_300x115.jpg,https://www.bigbike-magazine.com/vtt-2020-scott-aspect-780
